feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:WPT_addd_tk_mean,6,0.003965501673519611,569.0,0.22190622044565955,64.0,0.41358706393629063,129.0,0.16665800066602746,76.0,297.0,104.0,-9.0,652.5,-276.0,417.5,0.00029571933100813627,256.0,283.5,75.0
TF:WPT_ddad_var,6,2.7114718456622278e-11,935.0,0.21926914167065342,123.0,0.4337277920960334,85.0,0.15903989738921917,115.0,281.0,120.0,-9.0,652.5,-32.0,173.0,0.0007547907049772495,65.0,283.5625,75.0
TF:WPT_daad_tk_mean,6,6.712932876240529e-09,914.0,0.22253922761914233,52.0,0.4348309255578533,81.0,0.1678919085068747,68.0,309.0,92.0,-11.0,852.5,-26.0,167.5,0.0007422161945264516,68.0,286.875,75.0
TIME:n_peaks,6,4297.814453125,53.0,0.2152241628009699,177.0,0.43275129527935263,88.0,0.15392238650170276,153.5,286.0,115.0,-9.0,652.5,-167.0,308.0,0.00011836721974818306,771.0,289.75,75.0
TF:WPT_dada_abs_mean,6,0.0001015597372315824,744.0,0.22176110825487855,66.0,0.4380784638504127,68.0,0.157077410285861,130.0,229.0,172.0,-10.0,752.5,-92.0,233.0,0.00042004754981577846,160.0,290.6875,75.0
TIME:waveform_length,6,399749.34375,23.0,0.21935485103346267,116.0,0.42133875447236147,115.0,0.15234701423334812,168.0,170.0,231.0,-12.0,952.5,-437.0,578.0,0.00043485226447989247,150.0,291.6875,75.0
TF:DWT_L0_entropy,6,0.3732409179210663,279.0,0.13786672935712568,550.0,0.19843561139008292,624.0,0.15355261775869294,157.0,123.0,278.0,-5.0,252.5,-1.0,59.0,0.0004638336520496878,137.0,292.0625,75.0
FREQ:bandP_0,6,79625044623360.0,1.0,0.19475457771769858,270.0,0.24474790160297522,559.5,0.140370761185328,254.0,28.0,373.0,-8.0,552.5,-1.0,59.0,0.00028577358910556475,271.0,292.5,75.0
TF:WPT_addd_energy,6,1077.664306640625,65.0,0.22197456754815284,61.0,0.39699030759466414,183.0,0.16715077491809288,73.0,303.0,98.0,-10.0,752.5,-598.0,739.0,0.0002162077008536163,385.0,294.5625,75.0
TF:stft_gini,6,0.0013008028035983443,620.0,0.21911009081603966,130.0,0.37470136232722906,261.0,0.17779390068886455,28.0,328.0,73.0,-11.0,852.5,-90.0,231.0,0.0003811645899803188,186.0,297.6875,75.0
